City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Athabasca,CA,2021-10-28 23:44:35,54.7169,-113.2854,48.02,39,60,8.43,broken clouds
212,Kamiiso,JP,2021-10-28 23:47:33,41.8167,140.65,53.98,66,20,8.05,few clouds
213,Faya,SA,2021-10-28 23:47:33,18.3851,42.4509,57.31,57,1,3.02,clear sky
214,Te Anau,NZ,2021-10-28 23:47:34,-45.4167,167.7167,63.36,60,9,1.63,clear sky
215,Los Llanos De Aridane,ES,2021-10-28 23:47:34,28.6585,-17.9182,64.15,78,0,5.99,clear sky
216,Hambantota,LK,2021-10-28 23:47:35,6.1241,81.1185,78.17,84,95,5.26,light rain
217,Tilichiki,RU,2021-10-28 23:47:35,60.4667,166.1,8.06,85,39,3.8,scattered clouds
218,Sistranda,NO,2021-10-28 23:47:35,63.7256,8.834,51.91,94,100,7.2,moderate rain
219,Kaeo,NZ,2021-10-28 23:47:36,-35.1,173.7833,70.32,71,25,12.12,scattered clouds
220,Huilong,CN,2021-10-28 23:47:36,31.8111,121.655,65.93,66,82,5.91,broken clouds
221,Mahbubnagar,IN,2021-10-28 23:47:37,16.7333,77.9833,69.49,63,97,13.15,overcast clouds
222,Anito,PH,2021-10-28 23:47:37,12.4497,125.2886,80.02,89,96,7.16,overcast clouds
223,Victoria,HK,2021-10-28 23:44:04,22.2855,114.1577,77.38,85,78,1.99,broken clouds
224,La Merced,CO,2021-10-28 23:47:38,5.4019,-75.8847,58.86,99,93,2.68,overcast clouds
225,Ilulissat,GL,2021-10-28 23:47:38,69.2167,-51.1,26.62,68,75,11.5,broken clouds
226,Constitucion,CL,2021-10-28 23:47:38,-35.3333,-72.4167,55.33,77,12,14.16,few clouds
227,Esperance,AU,2021-10-28 23:47:39,-33.8667,121.9,53.44,73,89,12.28,light rain
228,Nuuk,GL,2021-10-28 23:47:39,64.1835,-51.7216,30.81,74,90,10.36,overcast clouds
229,Abashiri,JP,2021-10-28 23:47:40,44.0213,144.2697,46.69,87,75,11.5,broken clouds
230,Bridgetown,BB,2021-10-28 23:46:14,13.1,-59.6167,81.09,78,75,10.36,broken clouds
231,Ust-Kuyga,RU,2021-10-28 23:47:40,70.0167,135.6,9.77,96,100,1.79,overcast clouds
232,Tommot,RU,2021-10-28 23:47:40,58.9564,126.2925,23.07,72,31,8.88,scattered clouds
233,Coffs Harbour,AU,2021-10-28 23:47:41,-30.3,153.1333,75.47,73,90,8.05,light intensity shower rain
234,Souillac,MU,2021-10-28 23:47:38,-20.5167,57.5167,74.35,83,20,8.05,few clouds
235,Danielskuil,ZA,2021-10-28 23:47:42,-28.1887,23.5395,59.76,86,61,20.67,broken clouds
236,Hibbing,US,2021-10-28 23:47:42,47.4272,-92.9377,45.9,93,90,4.61,light rain
237,Waipawa,NZ,2021-10-28 23:47:42,-41.4122,175.5153,63.45,61,24,1.74,few clouds
238,Guerrero Negro,MX,2021-10-28 23:47:22,27.9769,-114.0611,75.79,43,0,11.81,clear sky
239,Vilhena,BR,2021-10-28 23:47:43,-12.7406,-60.1458,77.22,83,20,5.75,few clouds
240,Adrar,MR,2021-10-28 23:47:43,20.5022,-10.0711,77.11,34,100,9.26,overcast clouds
241,Naryan-Mar,RU,2021-10-28 23:47:44,67.6713,53.087,17.8,79,23,9.64,few clouds
242,Ostrovnoy,RU,2021-10-28 23:46:20,68.0531,39.5131,28.74,88,100,19.1,overcast clouds
243,Bulgan,MN,2021-10-28 23:47:44,48.8125,103.5347,31.1,97,100,2.82,light snow
244,Shimoda,JP,2021-10-28 23:47:45,34.6667,138.95,62.1,55,0,17.6,clear sky
245,La Romana,DO,2021-10-28 23:47:45,18.4273,-68.9728,82.13,83,20,4.61,few clouds
246,Champerico,GT,2021-10-28 23:47:46,14.3,-91.9167,84.34,81,28,4.85,scattered clouds
247,Lagunas,PE,2021-10-28 23:47:46,-5.2269,-75.6753,74.53,93,61,2.91,broken clouds
248,Marfino,RU,2021-10-28 23:47:46,55.7028,37.3822,45.09,79,90,2.24,light rain
249,Masallatah,LY,2021-10-28 23:47:47,32.6167,14.0,65.37,69,6,14.7,clear sky
250,Ullal,IN,2021-10-28 23:47:47,12.8,74.85,77.95,94,20,0.0,mist
251,Buala,SB,2021-10-28 23:47:48,-8.145,159.5921,86.07,69,67,7.29,light rain
252,Villa Bruzual,VE,2021-10-28 23:47:48,9.3328,-69.1208,73.94,94,72,0.89,broken clouds
253,Pizarro,CO,2021-10-28 23:47:49,4.9533,-77.366,78.44,89,53,6.85,light rain
